name,Altura_x,Peso_x,Altura_y,Peso_y,_merge
acrocanthosaurus,,,4 metros,5 toneladas,both
allosaurus,,,2 a 3 metros (según la especie),"1,5 - 3 toneladas (según la especie)",both
anserimimus,,50 kilos,"1,7 metros",60 kg,both
brachytrachelopan,,9000 kilos,3 metros,4 toneladas,both
chaoyangsaurus,,10 kilos,1 mts,108kg,both
dubreuillosaurus,,250 kilos,"2,1 m",250 kilogramos,both
europasaurus,,500 kilos,"2,7 metros","2,7 T",both
hesperosaurus,,3500 kilos,"2,5 de alto",3 toneladas,both
heyuannia,,20 kilos,Nan,20 kilogramos,both
juravenator,,1 kilos,20 cm,2-5 kg,both
khaan,,14 kilos,50 centímetros,Nan,both
ligabuesaurus,,,13 metros,13 toneladas,both
marshosaurus,,200 kilos,2 metros,340 kilos,both
maxakalisaurus,,,Nan,9 toneladas,both
nedoceratops,,12000 kilos,2 metros,"4,5 toneladas",both
nomingia,,20 kilos,1 metro,60 kg,both
protohadros,,,3 metros,1 tonelada,both
rebbachisaurus,,7000 kilos,6 a 8 metros,28 toneladas,both
shamosaurus,,2000 kilos,2 metros,"2,5 toneladas",both
shanag,,5 kilos,30 cm,2 kilogramos,both
sinocalliopteryx,,20 kilos,1 metro,15 kilogramos,both
stegosaurus,,,"3,7 metros",8 toneladas,both
tyrannosaurus,,,3 metros,7-8.8 toneladas,both
zuniceratops,,,1 metro (hasta las caderas),1 tonelada,both
