name,peso
Aardonyx,Peso: 450 kilos
Abelisaurus,Peso: 3000 kilos
Achelousaurus,Peso: 3000 kilos
Achillobator,Peso: 550 kilos
Aegyptosaurus,Peso: 10500 kilos
Afrovenator,Peso: 1000 kilos
Agilisaurus,Peso: 40 kilos
Alamosaurus,Peso: 50000 kilos
Albertaceratops,Peso: 3500 kilos
Albertosaurus,Peso: 2500 kilos
Alectrosaurus,Peso: 1000 kilos
Alioramus,Peso: 1000 kilos
Allosaurio,Peso: 2000 kilos
Alvarezsaurus,Peso: 3 kilos
Amargasaurus,Peso: 3000 kilos
Ammosaurus,Peso: 70 kilos
Ampelosaurus,Peso: 800 kilos
Amygdalodon,Peso: 5000 kilos
Anchiceratops,Peso: 1200 kilos
Anchisaurus,Peso: 27 kilos
Ankylosaurus,Peso: 8000 kilos
Anserimimus,Peso: 50 kilos
Antarctosaurus,Peso: 34000 kilos
Apatosaurus,Peso: 22000 kilos
Aragosaurus,Peso: 28000 kilos
Aralosaurus,Peso: 5000 kilos
Archaeoceratops,Peso: 5 kilos
Archaeopteryx,Peso: 1 kilos
Archaeornithomimus,Peso: 50 kilos
Argentinosaurus,Peso: 100000 kilos
Arrhinoceratops,Peso: 1800 kilos
Atlascopcosaurus,Peso: 120 kilos
Aucasaurus,Peso: 700 kilos
Austrosaurus,Peso: 16000 kilos
Avaceratops,Peso: 318 kilos
Avimimus,Peso: 15 kilos
Bactrosaurus,Peso: 1500 kilos
Bagaceratops,Peso: 10 kilos
Bambiraptor,Peso: 6350 kilos
Barapasaurus,Peso: 1800 kilos
Barosaurus,Peso: 20000 kilos
Baryonyx,Peso: 1700 kilos
Becklespinax,Peso: 900 kilos
Beipiaosaurus,Peso: 85 kilos
Bellusaurus,Peso: 450 kilos
Borogovia,Peso: 20 kilos
Brachiosaurus,Peso: 52600 kilos
Brachylophosaurus,Peso: 6990 kilos
Brachytrachelopan,Peso: 9000 kilos
Buitreraptor,Peso: 3 kilos
Camarasaurus,Peso: 20000 kilos
Camptosaurus,Peso: 2500 kilos
Carcharodontosaurus,Peso: 15000 kilos
Carnotaurus,Peso: 1350 kilos
Caudipteryx,Peso: 7 kilos
Cedarpelta,Peso: 5000 kilos
Centrosaurus,Peso: 2700 kilos
Ceratosaurus,Peso: 980 kilos
Cetiosauriscus,Peso: 8900 kilos
Cetiosaurus,Peso: 11000 kilos
Chaoyangsaurus,Peso: 10 kilos
Chasmosaurus,Peso: 3600 kilos
Chindesaurus,Peso: 50 kilos
Chirostenotes,Peso: 100 kilos
Chubutisaurus,Peso: 10880 kilos
Chungkingosaurus,Peso: 1361 kilos
Citipati,Peso: 83 kilos
Coelophysis,Peso: 23 kilos
Coelurus,Peso: 20 kilos
Coloradisaurus,Peso: 100 kilos
Compsognathus,Peso: 3 kilos
Conchoraptor,Peso: 10 kilos
Confuciusornis,Peso: 2 kilos
Corythosaurus,Peso: 5000 kilos
Cryolophosaurus,Peso: 500 kilos
Dacentrurus,Peso: 5000 kilos
Daspletosaurus,Peso: 3900 kilos
Datousaurus,Peso: 16000 kilos
Deinocheirus,Peso: 6400 kilos
Deinonychus,Peso: 75 kilos
Deltadromeus,Peso: 1050 kilos
Dicraeosaurus,Peso: 14000 kilos
Dilophosaurus,Peso: 300 kilos
Diplodocus,Peso: 20000 kilos
Dromaeosaurus,Peso: 15 kilos
Dromiceiomimus,Peso: 300 kilos
Dryosaurus,Peso: 99 kilos
Dryptosaurus,Peso: 1500 kilos
Dubreuillosaurus,Peso: 250 kilos
Edmontonia,Peso: 3200 kilos
Edmontosaurus,Peso: 3500 kilos
Einiosaurus,Peso: 1300 kilos
Elaphrosaurus,Peso: 300 kilos
Emausaurus,Peso: 14000 kilos
Eolambia,Peso: 1000 kilos
Eoraptor,Peso: 10 kilos
Eotyrannus,Peso: 227 kilos
Equijubus,Peso: 2500 kilos
Erketu,Peso: 4990 kilos
Erlikosaurus,Peso: 160 kilos
Estegosaurio,Peso: 1800 kilos
Euhelopus,Peso: 3500 kilos
Euoplocephalus,Peso: 2000 kilos
Europasaurus,Peso: 500 kilos
Eustreptospondylus,Peso: 900 kilos
Fukuiraptor,Peso: 590 kilos
Fukuisaurus,Peso: 400 kilos
Gallimimus,Peso: 200 kilos
Gargoyleosaurus,Peso: 1000 kilos
Garudimimus,Peso: 30 kilos
Gasosaurus,Peso: 150 kilos
Gasparinisaura,Peso: 34 kilos
Gastonia,Peso: 1900 kilos
Giganotosaurus,Peso: 8000 kilos
Gilmoreosaurus,Peso: 300 kilos
Giraffatitan,Peso: 40000 kilos
Gobisaurus,Peso: 3500 kilos
Gorgosaurus,Peso: 2500 kilos
Goyocephale,Peso: 40 kilos
Graciliceratops,Peso: 9 kilos
Gryposaurus,Peso: 4536 kilos
Guaibasaurus,Peso: 6 kilos
Guanlong,Peso: 125 kilos
Hadrosaurus,Peso: 8000 kilos
Hagryphus,Peso: 50 kilos
Haplocanthosaurus,Peso: 11611 kilos
Harpymimus,Peso: 50 kilos
Herrerasaurus,Peso: 350 kilos
Hesperosaurus,Peso: 3500 kilos
Heterodontosaurus,Peso: 6 kilos
Heyuannia,Peso: 20 kilos
Homalocephale,Peso: 85 kilos
Huayangosaurus,Peso: 3000 kilos
Hylaeosaurus,Peso: 1000 kilos
Hypacrosaurus,Peso: 1300 kilos
Hypsilophodon,Peso: 68 kilos
Iguanodon,Peso: 5000 kilos
Indosuchus,Peso: 1200 kilos
Irritator,Peso: 1000 kilos
Janenschia,Peso: 30000 kilos
Jaxartosaurus,Peso: 3629 kilos
Jingshanosaurus,Peso: 2500 kilos
Jinzhousaurus,Peso: 1000 kilos
Jobaria,Peso: 22000 kilos
Juravenator,Peso: 1 kilos
Kentrosaurus,Peso: 3000 kilos
Khaan,Peso: 14 kilos
Kotasaurus,Peso: 2500 kilos
Kritosaurus,Peso: 2300 kilos
Lambeosaurus,Peso: 3000 kilos
Lapparentosaurus,Peso: 22680 kilos
Leaellynasaura,Peso: 10 kilos
Leptoceratops,Peso: 200 kilos
Lesothosaurus,Peso: 10 kilos
Liaoceratops,Peso: 7 kilos
Liliensternus,Peso: 200 kilos
Lophorhothon,Peso: 590 kilos
Lophostropheus,Peso: 100 kilos
Lufengosaurus,Peso: 1500 kilos
Lurdusaurus,Peso: 5500 kilos
Lycorhinus,Peso: 18 kilos
Magyarosaurus,Peso: 1100 kilos
Maiasaura,Peso: 10000 kilos
Majungasaurus,Peso: 1100 kilos
Malawisaurus,Peso: 9000 kilos
Mamenchisaurus,Peso: 27216 kilos
Mapusaurus,Peso: 3000 kilos
Marshosaurus,Peso: 200 kilos
Megalosaurus,Peso: 9000 kilos
Melanorosaurus,Peso: 1300 kilos
Metriacanthosaurus,Peso: 910 kilos
Microceratus,Peso: 10 kilos
Micropachycephalosaurus,Peso: 5 kilos
Microraptor,Peso: 1 kilos
Minmi,Peso: 1600 kilos
Monolophosaurus,Peso: 480 kilos
Mononykus,Peso: 4 kilos
Mussaurus,Peso: 1000 kilos
Muttaburrasaurus,Peso: 2800 kilos
Nanshiungosaurus,Peso: 600 kilos
Nemegtosaurus,Peso: 18144 kilos
Neovenator,Peso: 2000 kilos
Neuquenosaurus,Peso: 12700 kilos
Nigersaurus,Peso: 4536 kilos
Nipponosaurus,Peso: 1814 kilos
Noasaurus,Peso: 15 kilos
Nodosaurus,Peso: 3500 kilos
Nomingia,Peso: 20 kilos
Nothronychus,Peso: 1000 kilos
Nqwebasaurus,Peso: 1 kilos
Omeisaurus,Peso: 9800 kilos
Opisthocoelicaudia,Peso: 14000 kilos
Ornitholestes,Peso: 11 kilos
Ornithomimus,Peso: 200 kilos
Orodromeus,Peso: 50 kilos
Oryctodromeus,Peso: 32 kilos
Othnielia,Peso: 10 kilos
Ouranosaurus,Peso: 4000 kilos
Oviraptor,Peso: 36 kilos
Pachycephalosaurus,Peso: 2000 kilos
Pachyrhinosaurus,Peso: 4000 kilos
Panoplosaurus,Peso: 3175 kilos
Pantydraco,Peso: 50 kilos
Paralititan,Peso: 47000 kilos
Parasaurolophus,Peso: 3600 kilos
Parksosaurus,Peso: 45 kilos
Patagosaurus,Peso: 7257 kilos
Pelicanimimus,Peso: 25 kilos
Pelorosaurus,Peso: 14000 kilos
Pentaceratops,Peso: 2700 kilos
Piatnitzkysaurus,Peso: 300 kilos
Pinacosaurus,Peso: 1400 kilos
Plateosaurus,Peso: 700 kilos
Podokesaurus,Peso: 4 kilos
Poekilopleuron,Peso: 1300 kilos
Polacanthus,Peso: 900 kilos
Probactrosaurus,Peso: 135 kilos
Proceratosaurus,Peso: 300 kilos
Procompsognathus,Peso: 1 kilos
Prosaurolophus,Peso: 1800 kilos
Protarchaeopteryx,Peso: 4 kilos
Protoceratops,Peso: 180 kilos
Psittacosaurus,Peso: 68 kilos
Quaesitosaurus,Peso: 6350 kilos
Rebbachisaurus,Peso: 7000 kilos
Rhabdodon,Peso: 3000 kilos
Rhoetosaurus,Peso: 10800 kilos
Rinchenia,Peso: 136 kilos
Rugops,Peso: 410 kilos
Saichania,Peso: 1800 kilos
Saltasaurus,Peso: 7250 kilos
Saltopus,Peso: 9 kilos
Sarcosaurus,Peso: 4300 kilos
Saurolophus,Peso: 2700 kilos
Sauropelta,Peso: 2900 kilos
Saurophaganax,Peso: 5400 kilos
Saurornithoides,Peso: 30 kilos
Scelidosaurus,Peso: 250 kilos
Scutellosaurus,Peso: 10 kilos
Secernosaurus,Peso: 1814 kilos
Segisaurus,Peso: 5 kilos
Shamosaurus,Peso: 2000 kilos
Shanag,Peso: 5 kilos
Shantungosaurus,Peso: 7300 kilos
Shunosaurus,Peso: 7200 kilos
Shuvuuia,Peso: 5 kilos
Silvisaurus,Peso: 3000 kilos
Sinocalliopteryx,Peso: 20 kilos
Sinornithosaurus,Peso: 9 kilos
Sinosauropteryx,Peso: 3 kilos
Sinovenator,Peso: 23 kilos
Sinraptor,Peso: 1000 kilos
Sonidosaurus,Peso: 1400 kilos
Spinosaurus,Peso: 6000 kilos
Staurikosaurus,Peso: 28 kilos
Stegoceras,Peso: 68 kilos
Stenopelix,Peso: 10 kilos
Struthiomimus,Peso: 150 kilos
Struthiosaurus,Peso: 400 kilos
Styracosaurus,Peso: 3000 kilos
Suchomimus,Peso: 6000 kilos
Supersaurus,Peso: 50000 kilos
Talarurus,Peso: 1360 kilos
Tanius,Peso: 2177 kilos
Tarbosaurus,Peso: 11000 kilos
Tarchia,Peso: 4500 kilos
Telmatosaurus,Peso: 450 kilos
Tenontosaurus,Peso: 900 kilos
Thecodontosaurus,Peso: 11 kilos
Therizinosaurus,Peso: 450 kilos
Thescelosaurus,Peso: 300 kilos
Tiranosaurio Rex,Peso: 7000 kilos
Torosaurus,Peso: 12000 kilos
Torvosaurus,Peso: 2700 kilos
Triceratops,Peso: 12000 kilos
Troodon,Peso: 50 kilos
Tsagantegia,Peso: 2722 kilos
Tsintaosaurus,Peso: 2700 kilos
Tuojiangosaurus,Peso: 2800 kilos
Tylocephale,Peso: 32 kilos
Udanoceratops,Peso: 200 kilos
Unenlagia,Peso: 23 kilos
Urbacodon,Peso: 10 kilos
Utahraptor,Peso: 900 kilos
Valdosaurus,Peso: 10 kilos
Velociraptor,Peso: 25 kilos
Vulcanodon,Peso: 3500 kilos
Yandusaurus,Peso: 7 kilos
Yangchuanosaurus,Peso: 3150 kilos
Yimenosaurus,Peso: 1000 kilos
Yingshanosaurus,Peso: 1000 kilos
Yinlong,Peso: 15 kilos
Yuanmousaurus,Peso: 18143 kilos
Zalmoxes,Peso: 80 kilos
Zephyrosaurus,Peso: 20 kilos
